Employee_ID,Company,Department,Job_Level,Job_Role,Location,Gender,Age,Education,Employment_Type,Work_Mode,Years_at_Company,Years_in_Current_Role,Total_Work_Experience,Monthly_Salary_INR,Annual_Salary_INR,Annual_Bonus_INR,Job_Satisfaction,Work_Life_Balance,Performance_Rating,Overtime_Hours_Month,Training_Hours_Year,Projects_Count,Promotions_Last_5_Years,Manager_Rating,Distance_From_Home_KM,Salary_Growth_Potential,Attrition_Probability,Attrition
MNC10055,Capgemini,Data & AI,L1,Cybersecurity Analyst,Pune,Female,37,Master's,Full-Time,Remote,10,6,15,33681,404172,9472,1,3,1,23,97,2,0,5,49.2,Low,0.0631,Yes
MNC10056,Accenture,Product Management,L1,QA Engineer,Mumbai,Female,54,Master's,Full-Time,Hybrid,12,6,8,145260,1743120,112036,1,3,3,13,25,1,0,5,56.1,Low,0.2303,Yes
MNC10057,Tech Mahindra,Product Management,L1,Business Analyst,Hyderabad,Male,44,Bachelor's,Full-Time,Remote,10,5,14,203364,2440368,188674,3,3,5,47,0,2,1,5,56.4,Medium,0.6175,No
MNC10058,TCS,IT Support,L3,IT Support Engineer,Hyderabad,Male,52,Bachelor's,Full-Time,Remote,12,4,16,135386,1624632,287667,1,1,3,6,3,7,0,5,54.9,Low,0.3355,No
MNC10059,Wipro,Cloud & DevOps,L1,IT Support Engineer,Noida,Male,21,Bachelor's,Full-Time,Hybrid,12,7,13,263378,3160536,590348,2,4,1,35,38,7,1,4,33.2,Medium,0.1528,No
MNC10060,Cognizant,Software Engineering,L2,Data Scientist,Bengaluru,Male,28,Master's,Full-Time,Onsite,11,4,17,123246,1478952,271223,5,2,5,49,53,10,1,1,22.0,Medium,0.1394,Yes
MNC10061,Wipro,Data & AI,L4,Project Manager,Gurugram,Male,43,Master's,Full-Time,Onsite,8,8,1,125864,1510368,322870,4,3,3,23,89,6,0,4,1.4,Low,0.0057,No
MNC10062,Capgemini,Product Management,L2,Business Analyst,Pune,Female,32,Master's,Full-Time,Hybrid,5,8,3,238886,2866632,355050,3,3,1,26,32,5,3,5,4.6,High,0.0254,No
MNC10063,Cognizant,IT Support,L3,DevOps Engineer,Noida,Male,32,Master's,Full-Time,Hybrid,11,0,17,300561,3606732,278676,5,1,3,36,32,3,0,3,26.3,Low,0.1419,No
MNC10064,TCS,Testing/QA,L1,DevOps Engineer,Pune,Male,35,Bachelor's,Full-Time,Hybrid,3,5,6,195837,2350044,475573,5,2,2,37,71,3,2,4,24.6,High,0.0356,No
MNC10065,Capgemini,IT Support,L1,IT Support Engineer,Bengaluru,Male,39,Bachelor's,Full-Time,Hybrid,14,6,12,275160,3301920,43162,2,4,1,29,19,9,0,5,11.9,Low,0.0852,Yes
MNC10066,Infosys,Data & AI,L1,DevOps Engineer,Kochi,Male,46,Master's,Full-Time,Hybrid,4,2,14,217646,2611752,273497,1,5,3,26,15,4,1,5,24.3,Medium,0.1039,No
MNC10067,Accenture,Data & AI,L1,QA Engineer,Mumbai,Female,49,Master's,Full-Time,Remote,12,6,24,289278,3471336,112313,2,1,2,38,20,9,2,1,11.3,High,0.3671,No
MNC10068,TCS,IT Support,L2,Cybersecurity Analyst,Mumbai,Male,42,PhD,Full-Time,Onsite,5,6,22,319819,3837828,28477,1,4,2,14,44,4,1,2,51.1,Medium,0.1417,Yes
MNC10069,Accenture,Software Engineering,L1,Cloud Engineer,Gurugram,Female,41,Bachelor's,Full-Time,Onsite,10,1,21,286681,3440172,86373,1,5,1,25,89,2,3,4,18.6,High,0.0131,No
MNC10070,HCLTech,Cybersecurity,L1,Technical Lead,Bengaluru,Female,40,Bachelor's,Full-Time,Onsite,2,6,0,201635,2419620,528839,5,3,4,0,86,4,3,4,36.3,High,0.0033,No
MNC10071,Infosys,Data & AI,L1,Data Scientist,Noida,Female,49,Master's,Full-Time,Remote,7,0,10,41332,495984,68359,1,3,5,55,81,6,2,4,30.7,High,0.2099,No
MNC10072,Infosys,IT Support,L2,Project Manager,Gurugram,Female,24,Master's,Full-Time,Hybrid,3,4,9,284817,3417804,448096,3,2,1,3,61,6,3,5,4.1,High,0.0043,No
MNC10073,TCS,Product Management,L2,Technical Lead,Bengaluru,Male,27,Bachelor's,Contract,Hybrid,7,8,24,311321,3735852,143988,3,5,2,28,30,5,3,1,56.6,High,0.1933,Yes
MNC10074,Infosys,IT Support,L2,Project Manager,Chennai,Female,48,Master's,Full-Time,Onsite,9,6,4,250326,3003912,126150,3,3,2,56,41,1,0,5,32.1,Low,0.2887,No
MNC10075,Cognizant,Cloud & DevOps,L2,Software Developer,Hyderabad,Male,48,Bachelor's,Full-Time,Hybrid,9,6,15,229519,2754228,473919,5,3,1,0,11,3,0,5,20.2,Low,0.0128,No
MNC10076,Infosys,Cybersecurity,L3,Technical Lead,Gurugram,Male,24,Master's,Full-Time,Onsite,15,1,10,291849,3502188,309780,2,2,4,42,64,5,3,3,10.3,High,0.0802,No
MNC10077,Accenture,Testing/QA,L1,Cloud Engineer,Gurugram,Female,42,Master's,Full-Time,Remote,2,7,20,349248,4190976,467143,4,4,5,49,72,6,3,1,21.0,High,0.0679,No
MNC10078,Accenture,Software Engineering,L4,IT Support Engineer,Noida,Female,32,Master's,Full-Time,Hybrid,9,2,5,110730,1328760,351060,1,3,3,45,2,1,0,4,2.2,Low,0.3148,Yes
MNC10079,Capgemini,Testing/QA,L3,QA Engineer,Pune,Female,23,Master's,Full-Time,Hybrid,6,7,8,267474,3209688,107967,4,1,1,21,89,9,3,2,22.4,High,0.0192,No
MNC10080,Accenture,Cybersecurity,L1,Cybersecurity Analyst,Chennai,Male,42,Bachelor's,Full-Time,Remote,10,2,12,320477,3845724,94455,2,1,5,10,8,3,3,4,32.4,High,0.1436,Yes
MNC10081,Capgemini,Cybersecurity,L4,Cybersecurity Analyst,Noida,Male,22,Bachelor's,Full-Time,Hybrid,12,6,23,313817,3765804,461063,2,4,5,9,50,10,1,5,52.4,Medium,0.0443,No
MNC10082,Accenture,Cybersecurity,L4,QA Engineer,Bengaluru,Female,44,PhD,Full-Time,Hybrid,11,1,7,70870,850440,175405,5,5,2,58,15,3,3,1,41.6,High,0.3039,Yes
MNC10083,Cognizant,Testing/QA,L1,Business Analyst,Bengaluru,Male,54,Bachelor's,Full-Time,Remote,8,3,13,283017,3396204,239646,3,2,3,16,87,2,2,1,7.6,High,0.0135,No
MNC10084,Tech Mahindra,Product Management,L2,Software Developer,Bengaluru,Female,47,Master's,Full-Time,Hybrid,3,5,23,157536,1890432,189937,3,1,1,35,77,8,1,1,9.7,Medium,0.0731,No
MNC10085,Capgemini,Cybersecurity,L4,Project Manager,Kochi,Female,21,Bachelor's,Contract,Hybrid,7,8,0,314965,3779580,472312,2,1,2,55,2,3,2,3,26.3,High,0.7321,Yes
MNC10086,Wipro,IT Support,L3,Cloud Engineer,Bengaluru,Male,28,Master's,Full-Time,Hybrid,2,4,16,55494,665928,385007,5,4,2,46,97,6,3,4,12.5,High,0.0082,No
MNC10087,HCLTech,Testing/QA,L1,DevOps Engineer,Pune,Male,43,Master's,Full-Time,Hybrid,15,8,23,129477,1553724,61192,5,5,4,25,96,2,0,3,2.6,Low,0.0029,No
MNC10088,TCS,Cybersecurity,L2,Technical Lead,Chennai,Male,26,Master's,Contract,Onsite,6,4,4,235232,2822784,191758,1,5,5,47,23,7,1,2,48.5,Medium,0.5467,Yes
MNC10089,Accenture,IT Support,L2,Software Developer,Mumbai,Male,42,Bachelor's,Full-Time,Hybrid,2,7,24,310790,3729480,235161,3,4,1,20,72,4,0,5,2.2,Low,0.0067,No
MNC10090,Infosys,Product Management,L2,Technical Lead,Hyderabad,Female,45,Master's,Contract,Hybrid,11,0,1,153777,1845324,286287,2,1,1,12,12,9,1,3,50.0,Medium,0.323,No
MNC10091,Tech Mahindra,Cloud & DevOps,L3,Cloud Engineer,Pune,Male,38,Bachelor's,Full-Time,Remote,14,6,24,107360,1288320,107044,4,2,1,8,1,10,0,3,9.5,Low,0.0464,No
MNC10092,Accenture,Product Management,L2,Data Scientist,Pune,Female,37,Bachelor's,Full-Time,Hybrid,14,3,23,329479,3953748,505173,3,1,2,10,70,9,1,5,58.5,Medium,0.0556,No
MNC10093,Infosys,Cybersecurity,L2,Data Scientist,Kochi,Male,32,Master's,Full-Time,Remote,6,4,8,163501,1962012,181062,1,5,4,10,20,7,1,1,36.6,Medium,0.1063,No
MNC10094,HCLTech,Testing/QA,L3,Software Developer,Mumbai,Other,26,Master's,Full-Time,Hybrid,13,5,3,334094,4009128,456104,5,1,3,5,18,8,2,5,44.4,High,0.0456,No
MNC10095,HCLTech,Data & AI,L1,IT Support Engineer,Mumbai,Male,46,Master's,Full-Time,Onsite,10,4,16,90654,1087848,69351,2,2,2,0,88,3,0,4,7.5,Low,0.0058,No
MNC10096,HCLTech,Cybersecurity,L2,Cloud Engineer,Hyderabad,Male,47,Bachelor's,Contract,Hybrid,9,0,16,149975,1799700,490588,3,3,3,53,46,5,2,5,51.9,High,0.3321,Yes
MNC10097,Infosys,Data & AI,L3,Cloud Engineer,Hyderabad,Male,28,Bachelor's,Full-Time,Onsite,9,8,20,229215,2750580,234085,4,1,4,5,21,2,2,1,50.5,High,0.1379,No
MNC10098,Accenture,IT Support,L4,QA Engineer,Mumbai,Female,39,Bachelor's,Full-Time,Hybrid,10,1,17,132326,1587912,498095,1,4,5,12,74,10,0,5,39.5,Low,0.0275,No
MNC10099,HCLTech,Cloud & DevOps,L2,IT Support Engineer,Bengaluru,Female,21,Bachelor's,Full-Time,Remote,10,8,15,107527,1290324,70309,1,3,1,21,32,7,1,3,30.6,Medium,0.1526,No
MNC10100,Cognizant,Software Engineering,L3,Project Manager,Pune,Female,49,Bachelor's,Full-Time,Onsite,5,1,7,196991,2363892,119156,3,4,3,55,31,8,2,2,43.6,High,0.4052,Yes
MNC10101,Capgemini,Product Management,L1,Project Manager,Noida,Male,55,Master's,Full-Time,Hybrid,1,8,10,126952,1523424,338144,4,4,2,30,63,9,0,3,1.3,Low,0.0158,No
MNC10102,Infosys,Cloud & DevOps,L2,DevOps Engineer,Hyderabad,Male,34,Bachelor's,Full-Time,Hybrid,10,5,20,176895,2122740,441848,1,4,3,21,84,7,1,2,36.0,Medium,0.05,No
MNC10103,Infosys,Cybersecurity,L3,Cybersecurity Analyst,Kochi,Male,55,Master's,Full-Time,Hybrid,2,8,20,76015,912180,21576,2,1,5,36,38,10,2,5,51.0,High,0.3647,No
MNC10104,Accenture,Data & AI,L2,Data Scientist,Kochi,Male,40,Master's,Full-Time,Hybrid,15,5,17,132877,1594524,527608,1,5,1,46,83,10,2,4,22.1,High,0.0567,No
MNC10105,Infosys,Product Management,L2,Project Manager,Hyderabad,Male,33,Master's,Full-Time,Hybrid,5,5,22,307483,3689796,184535,4,3,3,26,71,8,2,5,7.4,High,0.0085,No
MNC10106,Infosys,Data & AI,L2,IT Support Engineer,Mumbai,Other,28,Master's,Full-Time,Onsite,13,1,23,164563,1974756,26572,5,2,5,49,41,9,1,1,25.8,Medium,0.1999,No
MNC10107,HCLTech,Testing/QA,L1,Cloud Engineer,Chennai,Female,40,Master's,Full-Time,Hybrid,3,7,9,127493,1529916,280092,5,5,2,51,100,6,2,5,43.9,High,0.0251,No
MNC10108,Accenture,Data & AI,L2,Project Manager,Noida,Female,53,Bachelor's,Full-Time,Onsite,5,2,12,176800,2121600,520114,3,1,4,13,8,10,1,2,7.3,Medium,0.0855,No
MNC10109,HCLTech,Testing/QA,L2,Cloud Engineer,Noida,Female,46,Bachelor's,Full-Time,Hybrid,0,6,16,221480,2657760,89051,4,4,2,46,24,2,3,3,13.2,High,0.088,No
MNC10110,Capgemini,IT Support,L2,Project Manager,Hyderabad,Male,41,Bachelor's,Full-Time,Onsite,9,4,17,151648,1819776,191303,1,2,1,57,88,2,2,4,9.7,High,0.125,No
MNC10111,Tech Mahindra,Product Management,L1,Data Scientist,Bengaluru,Male,29,Bachelor's,Full-Time,Remote,11,2,9,317307,3807684,203305,1,3,2,4,96,4,3,5,48.0,High,0.0148,No
MNC10112,Capgemini,Product Management,L4,Technical Lead,Chennai,Female,44,Master's,Full-Time,Hybrid,0,0,15,178790,2145480,306822,5,5,2,57,1,9,0,5,4.7,Low,0.1011,No
MNC10113,Tech Mahindra,Software Engineering,L3,Project Manager,Noida,Female,37,Bachelor's,Full-Time,Hybrid,2,7,19,117508,1410096,457576,5,5,2,35,18,7,2,3,41.5,High,0.0885,No
MNC10114,HCLTech,Cybersecurity,L3,IT Support Engineer,Hyderabad,Male,44,Master's,Full-Time,Hybrid,7,2,4,244839,2938068,573722,2,2,2,31,19,2,0,4,22.6,Low,0.2127,Yes
MNC10115,Capgemini,Testing/QA,L3,Project Manager,Kochi,Male,41,Master's,Full-Time,Hybrid,7,1,12,331763,3981156,66617,5,1,1,33,92,8,0,5,45.6,Low,0.0411,No
MNC10116,Accenture,Software Engineering,L2,Cybersecurity Analyst,Noida,Male,33,Bachelor's,Full-Time,Remote,10,0,17,304270,3651240,510874,2,3,5,6,69,7,0,5,57.9,Low,0.04,No
MNC10117,TCS,Data & AI,L1,Data Scientist,Gurugram,Male,31,PhD,Full-Time,Onsite,3,3,16,94926,1139112,369792,1,2,3,41,16,9,3,2,7.8,High,0.3248,No
MNC10118,HCLTech,Data & AI,L3,IT Support Engineer,Chennai,Female,39,Bachelor's,Full-Time,Hybrid,5,7,8,70633,847596,81494,2,4,4,47,88,8,1,2,19.5,Medium,0.0729,Yes
MNC10119,Tech Mahindra,Software Engineering,L3,QA Engineer,Chennai,Female,31,Bachelor's,Full-Time,Hybrid,14,2,13,238726,2864712,82867,2,3,3,9,67,3,3,1,48.8,High,0.0511,No
MNC10120,Cognizant,Product Management,L3,IT Support Engineer,Gurugram,Male,33,Master's,Full-Time,Onsite,7,0,16,33317,399804,168600,3,5,3,49,93,1,3,3,16.7,High,0.0218,Yes
MNC10121,Tech Mahindra,Data & AI,L2,Cybersecurity Analyst,Pune,Female,21,Bachelor's,Full-Time,Onsite,6,3,3,337124,4045488,458818,5,2,4,16,83,2,0,4,13.7,Low,0.0061,No
MNC10122,Cognizant,IT Support,L1,Technical Lead,Kochi,Female,39,Master's,Full-Time,Hybrid,10,8,17,336259,4035108,254265,2,5,1,29,2,2,2,5,49.7,High,0.2377,No
MNC10123,Infosys,IT Support,L2,Data Scientist,Gurugram,Male,32,Bachelor's,Full-Time,Onsite,6,0,19,222718,2672616,519493,1,5,4,20,86,4,1,5,59.2,Medium,0.0408,No
MNC10124,Capgemini,Software Engineering,L2,QA Engineer,Mumbai,Male,28,Bachelor's,Full-Time,Hybrid,12,1,23,335302,4023624,164404,4,5,1,59,50,6,0,1,33.9,Low,0.23,Yes
MNC10125,Cognizant,Testing/QA,L3,Cybersecurity Analyst,Mumbai,Male,28,Master's,Full-Time,Hybrid,3,8,23,217035,2604420,484353,2,1,3,12,81,4,1,5,17.4,Medium,0.0179,No
MNC10126,Tech Mahindra,Testing/QA,L3,Cybersecurity Analyst,Hyderabad,Male,32,Bachelor's,Full-Time,Remote,8,1,14,210388,2524656,264395,5,5,1,0,25,9,3,3,24.5,High,0.0053,No
MNC10127,Infosys,Software Engineering,L2,Software Developer,Chennai,Female,53,Bachelor's,Full-Time,Hybrid,11,2,10,307648,3691776,97382,3,4,5,0,55,4,1,1,11.0,Medium,0.0078,No
MNC10128,TCS,Testing/QA,L5,Data Scientist,Pune,Male,46,Bachelor's,Full-Time,Hybrid,9,6,11,229665,2755980,479767,1,4,4,46,99,6,1,3,46.0,Medium,0.1449,No
MNC10129,Accenture,Product Management,L3,IT Support Engineer,Pune,Female,48,Master's,Full-Time,Hybrid,5,2,8,329340,3952080,9583,3,3,5,32,63,6,2,1,46.6,High,0.1342,No
MNC10130,Accenture,Product Management,L2,Cloud Engineer,Noida,Male,25,Bachelor's,Full-Time,Remote,13,8,12,349532,4194384,574675,4,5,3,37,7,10,0,5,52.6,Low,0.2093,Yes
MNC10131,Accenture,Testing/QA,L1,Technical Lead,Noida,Male,28,Bachelor's,Contract,Hybrid,11,5,14,242369,2908428,285248,2,5,4,24,80,10,1,1,2.6,Medium,0.0166,No
